Date,Elevation (ft),
1997-04-01 18:00,1730.89,
1997-04-02 18:00,1730.9,
1997-04-03 18:00,1730.9,
1997-04-04 18:00,1730.9,
1997-04-05 18:00,1730.91,
1997-04-06 18:00,1730.92,
1997-04-07 18:00,1730.93,
1997-04-08 18:00,1730.92,
1997-04-09 18:00,1730.88,
1997-04-10 18:00,1730.88,
1997-04-11 18:00,1730.92,
1997-04-12 18:00,1730.91,
1997-04-13 18:00,1730.91,
1997-04-14 18:00,1730.91,
1997-04-15 18:00,1730.95,
1997-04-16 18:00,1730.94,
1997-04-17 18:00,1730.94,
1997-04-18 18:00,1730.95,
1997-04-19 18:00,1730.96,
1997-04-20 18:00,1731.03,
1997-04-21 18:00,1731.04,
1997-04-22 18:00,1730.97,
1997-04-23 18:00,1730.98,
1997-04-24 18:00,1730.98,
1997-04-25 18:00,1731.06,
1997-04-26 18:00,1731.07,
1997-04-27 18:00,1731.07,
1997-04-28 18:00,1731.07,
1997-04-29 18:00,1731.08,
1997-04-30 18:00,1731.08,
1997-05-01 18:00,1731.08,
1997-05-02 18:00,1731.08,
1997-05-03 18:00,1731.08,
1997-05-04 18:00,1731.08,
1997-05-05 18:00,1731.08,
1997-05-06 18:00,1731.09,
1997-05-07 18:00,1731.1,
1997-05-08 18:00,1731.09,
1997-05-09 18:00,1731.09,
1997-05-10 18:00,1731.11,
1997-05-11 18:00,1731.09,
1997-05-12 18:00,1731.07,
1997-05-13 18:00,1731.08,
1997-05-14 18:00,1731.09,
1997-05-15 18:00,1731.08,
1997-05-16 18:00,1731.09,
1997-05-17 18:00,1731.12,
1997-05-18 18:00,1731.12,
1997-05-19 18:00,1731.12,
1997-05-20 18:00,1731.11,
1997-05-21 18:00,1731.11,
1997-05-22 18:00,1731.11,
1997-05-23 18:00,1731.16,
1997-05-24 18:00,1731.17,
1997-05-25 18:00,1731.17,
1997-05-26 18:00,1731.22,
1997-05-27 18:00,1731.23,
1997-05-28 18:00,1731.24,
1997-05-29 18:00,1731.22,
1997-05-30 18:00,1731.23,
1997-05-31 18:00,1731.24,
1997-06-01 18:00,1731.28,
1997-06-02 18:00,1731.29,
1997-06-03 18:00,1731.3,
1997-06-04 18:00,1731.32,
1997-06-05 18:00,1731.32,
1997-06-06 18:00,1731.32,
1997-06-07 18:00,1731.31,
1997-06-08 18:00,1731.3,
1997-06-09 18:00,1731.28,
1997-06-10 18:00,1731.26,
1997-06-11 18:00,1731.24,
1997-06-12 18:00,1731.27,
1997-06-13 18:00,1731.27,
1997-06-14 18:00,1731.25,
1997-06-15 18:00,1731.23,
1997-06-16 18:00,1731.21,
1997-06-17 18:00,1731.2,
1997-06-18 18:00,1731.15,
1997-06-19 18:00,1731.13,
1997-06-20 18:00,1731.11,
1997-06-21 18:00,1731.04,
1997-06-22 18:00,1730.99,
1997-06-23 18:00,1730.92,
1997-06-24 18:00,1730.88,
1997-06-25 18:00,1730.83,
1997-06-26 18:00,1730.83,
1997-06-27 18:00,1730.97,
1997-06-28 18:00,1731.01,
1997-06-29 18:00,1730.9,
1997-06-30 18:00,1730.95,
1997-07-01 18:00,1730.88,
1997-07-02 18:00,1730.81,
1997-07-03 18:00,1730.74,
1997-07-04 18:00,1730.65,
1997-07-05 18:00,1730.58,
1997-07-06 18:00,1730.58,
1997-07-07 18:00,1730.54,
1997-07-08 18:00,1730.44,
1997-07-09 18:00,1730.39,
1997-07-10 18:00,1730.32,
1997-07-11 18:00,1730.25,
1997-07-12 18:00,1730.18,
1997-07-13 18:00,1730.12,
1997-07-14 18:00,1730.02,
1997-07-15 18:00,1729.99,
1997-07-16 18:00,1729.88,
1997-07-17 18:00,1729.79,
1997-07-18 18:00,1729.76,
1997-07-19 18:00,1729.67,
1997-07-20 18:00,1729.62,
1997-07-21 18:00,1729.53,
1997-07-22 18:00,1729.45,
1997-07-23 18:00,1729.36,
1997-07-24 18:00,1729.3,
1997-07-25 18:00,1729.2,
1997-07-26 18:00,1729.1,
1997-07-27 18:00,1729.01,
1997-07-28 18:00,1729.01,
1997-07-29 18:00,1728.99,
1997-07-30 18:00,1728.94,
1997-07-31 18:00,1728.84,
1997-08-01 18:00,1728.77,
1997-08-02 18:00,1728.69,
1997-08-03 18:00,1728.62,
1997-08-04 18:00,1728.55,
1997-08-05 18:00,1728.46,
1997-08-06 18:00,1728.42,
1997-08-07 18:00,1728.37,
1997-08-08 18:00,1728.3,
1997-08-09 18:00,1728.23,
1997-08-10 18:00,1728.18,
1997-08-11 18:00,1728.12,
1997-08-12 18:00,1728.09,
1997-08-13 18:00,1728.02,
1997-08-14 18:00,1728,
1997-08-15 18:00,1727.91,
1997-08-16 18:00,1727.85,
1997-08-17 18:00,1727.76,
1997-08-18 18:00,1727.73,
1997-08-19 18:00,1727.65,
1997-08-20 18:00,1727.58,
1997-08-21 18:00,1727.53,
1997-08-22 18:00,1727.53,
1997-08-23 18:00,1727.49,
1997-08-24 18:00,1727.42,
1997-08-25 18:00,1727.35,
1997-08-26 18:00,1727.28,
1997-08-27 18:00,1727.21,
1997-08-28 18:00,1727.14,
1997-08-29 18:00,1727.09,
1997-08-30 18:00,1727.09,
1997-08-31 18:00,1727.1,
1997-09-01 18:00,1727.12,
1997-09-02 18:00,1727.14,
1997-09-03 18:00,1727.11,
1997-09-04 18:00,1727.11,
1997-09-05 18:00,1727.09,
1997-09-06 18:00,1727.08,
1997-09-07 18:00,1727.08,
1997-09-08 18:00,1727.08,
1997-09-09 18:00,1727.07,
1997-09-10 18:00,1727.06,
1997-09-11 18:00,1727.05,
1997-09-12 18:00,1727.05,
1997-09-13 18:00,1727.05,
1997-09-14 18:00,1727.02,
1997-09-15 18:00,1727.02,
1997-09-16 18:00,1727.02,
1997-09-17 18:00,1727,
1997-09-18 18:00,1727,
1997-09-19 18:00,1727,
1997-09-20 18:00,1726.98,
1997-09-21 18:00,1726.96,
1997-09-22 18:00,1726.95,
1997-09-23 18:00,1727,
1997-09-24 18:00,1727.12,
1997-09-25 18:00,1727.12,
1997-09-26 18:00,1727.12,
1997-09-27 18:00,1727.12,
1997-09-28 18:00,1727.12,
1997-09-29 18:00,1727.12,
1997-09-30 18:00,1727.12,
1997-10-01 18:00,1727.09,
1997-10-02 18:00,1727.09,
1997-10-03 18:00,1727.09,
1997-10-04 18:00,1727.08,
1997-10-05 18:00,1727.08,
1997-10-06 18:00,1727.08,
1997-10-07 18:00,1727.06,
1997-10-08 18:00,1727.05,
1997-10-09 18:00,1727.03,
1997-10-10 18:00,1727,
1997-10-11 18:00,1726.99,
1997-10-12 18:00,1726.98,
1997-10-13 18:00,1726.97,
1997-10-14 18:00,1726.97,
1997-10-15 18:00,1726.97,
1997-10-16 18:00,1726.95,
1997-10-17 18:00,1726.95,
1997-10-18 18:00,1726.94,
1997-10-19 18:00,1726.94,
1997-10-20 18:00,1726.93,
1997-10-21 18:00,1726.93,
1997-10-22 18:00,1726.93,
1997-10-23 18:00,1726.93,
1997-10-24 18:00,1726.93,
1997-10-25 18:00,1727,
1997-10-26 18:00,1727.15,
1997-10-27 18:00,1727.18,
1997-10-28 18:00,1727.23,
1997-10-29 18:00,1727.23,
1997-10-30 18:00,1727.25,
1997-10-31 18:00,1727.28,
1997-11-01 18:00,1727.29,
1997-11-02 18:00,1727.29,
1997-11-03 18:00,1727.3,
1997-11-04 18:00,1727.3,
1997-11-05 18:00,1727.32,
1997-11-06 18:00,1727.32,
1997-11-07 18:00,1727.32,
1997-11-08 18:00,1727.34,
1997-11-09 18:00,1727.34,
1997-11-10 18:00,1727.36,
1997-11-11 18:00,1727.36,
1997-11-12 18:00,1727.38,
1997-11-13 18:00,1727.4,
1997-11-14 18:00,1727.42,
1997-11-15 18:00,1727.4,
1997-11-16 18:00,1727.4,
1997-11-17 18:00,1727.4,
1997-11-18 18:00,1727.42,
1997-11-19 18:00,1727.43,
1997-11-20 18:00,1727.45,
1997-11-21 18:00,1727.45,
1997-11-22 18:00,1727.48,
1997-11-23 18:00,1727.49,
1997-11-24 18:00,1727.5,
1997-11-25 18:00,1727.52,
1997-11-26 18:00,1727.53,
1997-11-27 18:00,1727.55,
1997-11-28 18:00,1727.56,
1997-11-29 18:00,1727.64,
1997-11-30 18:00,1727.68,
1997-12-01 18:00,1727.7,
1997-12-02 18:00,1727.7,
1997-12-03 18:00,1727.75,
1997-12-04 18:00,1727.76,
1997-12-05 18:00,1727.77,
1997-12-06 18:00,1727.78,
1997-12-07 18:00,1727.79,
1997-12-08 18:00,1727.8,
1997-12-09 18:00,1727.82,
1997-12-10 18:00,1727.85,
1997-12-11 18:00,1727.86,
1997-12-12 18:00,1727.88,
1997-12-13 18:00,1727.89,
1997-12-14 18:00,1727.9,
1997-12-15 18:00,1727.92,
1997-12-16 18:00,1727.95,
1997-12-17 18:00,1727.98,
1997-12-18 18:00,1727.98,
1997-12-19 18:00,1728.01,
1997-12-20 18:00,1728.02,
1997-12-21 18:00,1728.04,
1997-12-22 18:00,1728.07,
1997-12-23 18:00,1728.09,
1997-12-24 18:00,1728.12,
1997-12-25 18:00,1728.17,
1997-12-26 18:00,1728.2,
1997-12-27 18:00,1728.22,
1997-12-28 18:00,1728.24,
1997-12-29 18:00,1728.26,
1997-12-30 18:00,1728.26,
1997-12-31 18:00,1728.28,
1998-01-01 18:00,1728.3,
1998-01-02 18:00,1728.3,
1998-01-03 18:00,1728.32,
1998-01-04 18:00,1728.33,
1998-01-05 18:00,1728.35,
1998-01-06 18:00,1728.39,
1998-01-07 18:00,1728.4,
1998-01-08 18:00,1728.41,
1998-01-09 18:00,1728.42,
1998-01-10 18:00,1728.42,
1998-01-11 18:00,1728.43,
1998-01-12 18:00,1728.42,
1998-01-13 18:00,1728.46,
1998-01-14 18:00,1728.48,
1998-01-15 18:00,1728.49,
1998-01-16 18:00,1728.51,
1998-01-17 18:00,1728.53,
1998-01-18 18:00,1728.55,
1998-01-19 18:00,1728.57,
1998-01-20 18:00,1728.59,
1998-01-21 18:00,1728.61,
1998-01-22 18:00,1728.64,
1998-01-23 18:00,1728.66,
1998-01-24 18:00,1728.67,
1998-01-25 18:00,1728.69,
1998-01-26 18:00,1728.71,
1998-01-27 18:00,1728.73,
1998-01-28 18:00,1728.76,
1998-01-29 18:00,1728.77,
1998-01-30 18:00,1728.79,
1998-01-31 18:00,1728.82,
1998-02-01 18:00,1728.84,
1998-02-02 18:00,1728.86,
1998-02-03 18:00,1728.88,
1998-02-04 18:00,1728.89,
1998-02-05 18:00,1728.92,
1998-02-06 18:00,1728.93,
1998-02-07 18:00,1728.95,
1998-02-08 18:00,1728.97,
1998-02-09 18:00,1728.98,
1998-02-10 18:00,1729.11,
1998-02-11 18:00,1729.14,
1998-02-12 18:00,1729.16,
1998-02-13 18:00,1729.19,
1998-02-14 18:00,1729.21,
1998-02-15 18:00,1729.23,
1998-02-16 18:00,1729.26,
1998-02-17 18:00,1729.27,
1998-02-18 18:00,1729.28,
1998-02-19 18:00,1729.27,
1998-02-20 18:00,1729.27,
1998-02-21 18:00,1729.26,
1998-02-22 18:00,1729.26,
1998-02-23 18:00,1729.26,
1998-02-24 18:00,1729.25,
1998-02-25 18:00,1729.26,
1998-02-26 18:00,1729.24,
1998-02-27 18:00,1729.22,
1998-02-28 18:00,1729.2,
1998-03-01 18:00,1729.19,
1998-03-02 18:00,1729.17,
1998-03-03 18:00,1729.16,
1998-03-04 18:00,1729.15,
1998-03-05 18:00,1729.15,
1998-03-06 18:00,1729.15,
1998-03-07 18:00,1729.16,
1998-03-08 18:00,1729.17,
1998-03-09 18:00,1729.18,
1998-03-10 18:00,1729.17,
1998-03-11 18:00,1729.15,
1998-03-12 18:00,1729.14,
1998-03-13 18:00,1729.15,
1998-03-14 18:00,1729.15,
1998-03-15 18:00,1729.16,
1998-03-16 18:00,1729.16,
1998-03-17 18:00,1729.19,
1998-03-18 18:00,1729.24,
1998-03-19 18:00,1729.24,
1998-03-20 18:00,1729.25,
1998-03-21 18:00,1729.26,
1998-03-22 18:00,1729.27,
1998-03-23 18:00,1729.28,
1998-03-24 18:00,1729.28,
1998-03-25 18:00,1729.3,
1998-03-26 18:00,1729.33,
1998-03-27 18:00,1729.41,
1998-03-28 18:00,1729.58,
1998-03-29 18:00,1729.65,
1998-03-30 18:00,1729.68,
1998-03-31 18:00,1729.72,
1998-04-01 18:00,1729.74,
1998-04-02 18:00,1729.73,
1998-04-03 18:00,1729.78,
1998-04-04 18:00,1729.81,
1998-04-05 18:00,1729.83,
1998-04-06 18:00,1729.85,
1998-04-07 18:00,1729.95,
1998-04-08 18:00,1730.07,
1998-04-09 18:00,1730.17,
1998-04-10 18:00,1730.21,
1998-04-11 18:00,1730.25,
1998-04-12 18:00,1730.27,
1998-04-13 18:00,1730.29,
1998-04-14 18:00,1730.3,
1998-04-15 18:00,1730.31,
1998-04-16 18:00,1730.32,
1998-04-17 18:00,1730.33,
1998-04-18 18:00,1730.34,
1998-04-19 18:00,1730.36,
1998-04-20 18:00,1730.36,
1998-04-21 18:00,1730.37,
1998-04-22 18:00,1730.37,
1998-04-23 18:00,1730.4,
1998-04-24 18:00,1730.42,
1998-04-25 18:00,1730.45,
1998-04-26 18:00,1730.47,
1998-04-27 18:00,1730.49,
1998-04-28 18:00,1730.5,
1998-04-29 18:00,1730.59,
1998-04-30 18:00,1730.63,
1998-05-01 18:00,1730.66,
1998-05-02 18:00,1730.68,
1998-05-03 18:00,1730.7,
1998-05-04 18:00,1730.71,
1998-05-05 18:00,1730.74,
1998-05-06 18:00,1730.77,
1998-05-07 18:00,1730.81,
1998-05-08 18:00,1730.83,
1998-05-09 18:00,1730.87,
1998-05-10 18:00,1730.91,
1998-05-11 18:00,1730.94,
1998-05-12 18:00,1730.96,
1998-05-13 18:00,1730.97,
1998-05-14 18:00,1731,
1998-05-15 18:00,1731.03,
1998-05-16 18:00,1731.07,
1998-05-17 18:00,1731.1,
1998-05-18 18:00,1731.13,
1998-05-19 18:00,1731.17,
1998-05-20 18:00,1731.21,
1998-05-21 18:00,1731.2,
1998-05-22 18:00,1731.19,
1998-05-23 18:00,1731.17,
1998-05-24 18:00,1731.16,
1998-05-25 18:00,1731.15,
1998-05-26 18:00,1731.14,
1998-05-27 18:00,1731.11,
1998-05-28 18:00,1731.08,
1998-05-29 18:00,1731.09,
1998-05-30 18:00,1731.08,
1998-05-31 18:00,1731.06,
1998-06-01 18:00,1731.05,
1998-06-02 18:00,1731.03,
1998-06-03 18:00,1731.01,
1998-06-04 18:00,1731.02,
1998-06-05 18:00,1731.01,
1998-06-06 18:00,1731.02,
1998-06-07 18:00,1731.03,
1998-06-08 18:00,1731.04,
1998-06-09 18:00,1731.07,
1998-06-10 18:00,1731.06,
1998-06-11 18:00,1731.08,
1998-06-12 18:00,1731.1,
1998-06-13 18:00,1731.1,
1998-06-14 18:00,1731.11,
1998-06-15 18:00,1731.08,
1998-06-16 18:00,1731.05,
1998-06-17 18:00,1731.02,
1998-06-18 18:00,1730.98,
1998-06-19 18:00,1730.93,
1998-06-20 18:00,1730.87,
1998-06-21 18:00,1730.82,
1998-06-22 18:00,1730.79,
1998-06-23 18:00,1730.72,
1998-06-24 18:00,1730.67,
1998-06-25 18:00,1730.58,
1998-06-26 18:00,1730.52,
1998-06-27 18:00,1730.44,
1998-06-28 18:00,1730.37,
1998-06-29 18:00,1730.3,
1998-06-30 18:00,1730.25,
1998-07-01 18:00,1730.17,
1998-07-02 18:00,1730.07,
1998-07-03 18:00,1730.05,
1998-07-04 18:00,1729.93,
1998-07-05 18:00,1729.86,
1998-07-06 18:00,1729.8,
1998-07-07 18:00,1729.85,
1998-07-08 18:00,1729.78,
1998-07-09 18:00,1729.8,
1998-07-10 18:00,1729.8,
1998-07-11 18:00,1729.77,
1998-07-12 18:00,1729.76,
1998-07-13 18:00,1729.73,
1998-07-14 18:00,1729.69,
1998-07-15 18:00,1729.66,
1998-07-16 18:00,1729.61,
1998-07-17 18:00,1729.54,
1998-07-18 18:00,1729.45,
1998-07-19 18:00,1729.38,
1998-07-20 18:00,1729.3,
1998-07-21 18:00,1729.19,
1998-07-22 18:00,1729.09,
1998-07-23 18:00,1729.05,
1998-07-24 18:00,1729,
1998-07-25 18:00,1728.94,
1998-07-26 18:00,1728.94,
1998-07-27 18:00,1728.87,
1998-07-28 18:00,1728.83,
1998-07-29 18:00,1728.77,
1998-07-30 18:00,1728.72,
1998-07-31 18:00,1728.68,
1998-08-01 18:00,1728.64,
1998-08-02 18:00,1728.72,
1998-08-03 18:00,1728.72,
1998-08-04 18:00,1728.7,
1998-08-05 18:00,1728.67,
1998-08-06 18:00,1728.66,
1998-08-07 18:00,1728.64,
1998-08-08 18:00,1728.61,
1998-08-09 18:00,1728.58,
1998-08-10 18:00,1728.56,
1998-08-11 18:00,1728.54,
1998-08-12 18:00,1728.5,
1998-08-13 18:00,1728.46,
1998-08-14 18:00,1728.41,
1998-08-15 18:00,1728.36,
1998-08-16 18:00,1728.29,
1998-08-17 18:00,1728.23,
1998-08-18 18:00,1728.16,
1998-08-19 18:00,1728.11,
1998-08-20 18:00,1728.02,
1998-08-21 18:00,1727.95,
1998-08-22 18:00,1727.87,
1998-08-23 18:00,1727.78,
1998-08-24 18:00,1727.71,
1998-08-25 18:00,1727.63,
1998-08-26 18:00,1727.55,
1998-08-27 18:00,1727.48,
1998-08-28 18:00,1727.42,
1998-08-29 18:00,1727.41,
1998-08-30 18:00,1727.39,
1998-08-31 18:00,1727.36,
1998-09-01 18:00,1727.36,
1998-09-02 18:00,1727.35,
1998-09-03 18:00,1727.34,
1998-09-04 18:00,1727.33,
1998-09-05 18:00,1727.32,
1998-09-06 18:00,1727.31,
1998-09-07 18:00,1727.31,
1998-09-08 18:00,1727.28,
1998-09-09 18:00,1727.26,
1998-09-10 18:00,1727.24,
1998-09-11 18:00,1727.22,
1998-09-12 18:00,1727.21,
1998-09-13 18:00,1727.19,
1998-09-14 18:00,1727.22,
1998-09-15 18:00,1727.21,
1998-09-16 18:00,1727.2,
1998-09-17 18:00,1727.19,
1998-09-18 18:00,1727.18,
1998-09-19 18:00,1727.16,
1998-09-20 18:00,1727.13,
1998-09-21 18:00,1727.11,
1998-09-22 18:00,1727.09,
1998-09-23 18:00,1727.08,
1998-09-24 18:00,1727.08,
1998-09-25 18:00,1727.09,
1998-09-26 18:00,1727.08,
1998-09-27 18:00,1727.07,
1998-09-28 18:00,1727.06,
1998-09-29 18:00,1727.05,
1998-09-30 18:00,1727.07,
1998-10-01 18:00,1727.03,
1998-10-02 18:00,1727.08,
1998-10-03 18:00,1727.08,
1998-10-04 18:00,1727.08,
1998-10-05 18:00,1727.08,
1998-10-06 18:00,1727.07,
1998-10-07 18:00,1727.04,
1998-10-08 18:00,1727.03,
1998-10-09 18:00,1727.03,
1998-10-10 18:00,1727.03,
1998-10-11 18:00,1727.03,
1998-10-12 18:00,1727.03,
1998-10-13 18:00,1727.02,
1998-10-14 18:00,1727.02,
1998-10-15 18:00,1727.02,
1998-10-16 18:00,1727.03,
1998-10-17 18:00,1727.03,
1998-10-18 18:00,1727.02,
1998-10-19 18:00,1727.01,
1998-10-20 18:00,1727.01,
1998-10-21 18:00,1727.01,
1998-10-22 18:00,1727,
1998-10-23 18:00,1726.99,
1998-10-24 18:00,1726.99,
1998-10-25 18:00,1726.99,
1998-10-26 18:00,1727,
1998-10-27 18:00,1727.01,
1998-10-28 18:00,1727.04,
1998-10-29 18:00,1727.06,
1998-10-30 18:00,1727.03,
1998-10-31 18:00,1727.01,
1998-11-01 18:00,1727.03,
1998-11-02 18:00,1727.2,
1998-11-03 18:00,1727.24,
1998-11-04 18:00,1727.24,
1998-11-05 18:00,1727.25,
1998-11-06 18:00,1727.25,
1998-11-07 18:00,1727.27,
1998-11-08 18:00,1727.31,
1998-11-09 18:00,1727.32,
1998-11-10 18:00,1727.34,
1998-11-11 18:00,1727.36,
1998-11-12 18:00,1727.36,
1998-11-13 18:00,1727.37,
1998-11-14 18:00,1727.38,
1998-11-15 18:00,1727.39,
1998-11-16 18:00,1727.41,
1998-11-17 18:00,1727.41,
1998-11-18 18:00,1727.44,
1998-11-19 18:00,1727.42,
1998-11-20 18:00,1727.43,
1998-11-21 18:00,1727.44,
1998-11-22 18:00,1727.45,
1998-11-23 18:00,1727.46,
1998-11-24 18:00,1727.46,
1998-11-25 18:00,1727.47,
1998-11-26 18:00,1727.48,
1998-11-27 18:00,1727.5,
1998-11-28 18:00,1727.51,
1998-11-29 18:00,1727.53,
1998-11-30 18:00,1727.54,
1998-12-01 18:00,1727.54,
1998-12-02 18:00,1727.55,
1998-12-03 18:00,1727.55,
1998-12-04 18:00,1727.57,
1998-12-05 18:00,1727.58,
1998-12-06 18:00,1727.59,
1998-12-07 18:00,1727.59,
1998-12-08 18:00,1727.61,
1998-12-09 18:00,1727.61,
1998-12-10 18:00,1727.61,
1998-12-11 18:00,1727.62,
1998-12-12 18:00,1727.63,
1998-12-13 18:00,1727.64,
1998-12-14 18:00,1727.65,
1998-12-15 18:00,1727.66,
1998-12-16 18:00,1727.67,
1998-12-17 18:00,1727.67,
1998-12-18 18:00,1727.69,
1998-12-19 18:00,1727.69,
1998-12-20 18:00,1727.69,
1998-12-21 18:00,1727.68,
1998-12-22 18:00,1727.69,
1998-12-23 18:00,1727.69,
1998-12-24 18:00,1727.69,
1998-12-25 18:00,1727.69,
1998-12-26 18:00,1727.7,
1998-12-27 18:00,1727.72,
1998-12-28 18:00,1727.73,
1998-12-29 18:00,1727.73,
1998-12-30 18:00,1727.73,
1998-12-31 18:00,1727.75,
1999-01-01 18:00,1727.75,
1999-01-02 18:00,1727.75,
1999-01-03 18:00,1727.75,
1999-01-04 18:00,1727.74,
1999-01-05 18:00,1727.76,
1999-01-06 18:00,1727.77,
1999-01-07 18:00,1727.77,
1999-01-08 18:00,1727.78,
1999-01-09 18:00,1727.79,
1999-01-10 18:00,1727.8,
1999-01-11 18:00,1727.82,
1999-01-12 18:00,1727.82,
1999-01-13 18:00,1727.82,
1999-01-14 18:00,1727.83,
1999-01-15 18:00,1727.84,
1999-01-16 18:00,1727.86,
1999-01-17 18:00,1727.88,
1999-01-18 18:00,1727.89,
1999-01-19 18:00,1727.9,
1999-01-20 18:00,1727.92,
1999-01-21 18:00,1727.95,
1999-01-22 18:00,1727.96,
1999-01-23 18:00,1727.98,
1999-01-24 18:00,1727.99,
1999-01-25 18:00,1728,
1999-01-26 18:00,1728.03,
1999-01-27 18:00,1728.04,
1999-01-28 18:00,1728.05,
1999-01-29 18:00,1728.08,
1999-01-30 18:00,1728.11,
1999-01-31 18:00,1728.17,
1999-02-01 18:00,1728.19,
1999-02-02 18:00,1728.22,
1999-02-03 18:00,1728.23,
1999-02-04 18:00,1728.24,
1999-02-05 18:00,1728.25,
1999-02-06 18:00,1728.27,
1999-02-07 18:00,1728.28,
1999-02-08 18:00,1728.29,
1999-02-09 18:00,1728.31,
1999-02-10 18:00,1728.33,
1999-02-11 18:00,1728.33,
1999-02-12 18:00,1728.35,
1999-02-13 18:00,1728.36,
1999-02-14 18:00,1728.37,
1999-02-15 18:00,1728.38,
1999-02-16 18:00,1728.38,
1999-02-17 18:00,1728.4,
1999-02-18 18:00,1728.42,
1999-02-19 18:00,1728.42,
1999-02-20 18:00,1728.43,
1999-02-21 18:00,1728.43,
1999-02-22 18:00,1728.44,
1999-02-23 18:00,1728.46,
1999-02-24 18:00,1728.47,
1999-02-25 18:00,1728.49,
1999-02-26 18:00,1728.5,
1999-02-27 18:00,1728.51,
1999-02-28 18:00,1728.53,
1999-03-01 18:00,1728.54,
1999-03-02 18:00,1728.54,
1999-03-03 18:00,1728.55,
1999-03-04 18:00,1728.55,
1999-03-05 18:00,1728.56,
1999-03-06 18:00,1728.57,
1999-03-07 18:00,1728.58,
1999-03-08 18:00,1728.59,
1999-03-09 18:00,1728.64,
1999-03-10 18:00,1728.64,
1999-03-11 18:00,1728.66,
1999-03-12 18:00,1728.66,
1999-03-13 18:00,1728.67,
1999-03-14 18:00,1728.69,
1999-03-15 18:00,1728.7,
1999-03-16 18:00,1728.71,
1999-03-17 18:00,1728.73,
1999-03-18 18:00,1728.74,
1999-03-19 18:00,1728.75,
1999-03-20 18:00,1728.76,
1999-03-21 18:00,1728.76,
1999-03-22 18:00,1728.77,
1999-03-23 18:00,1728.79,
1999-03-24 18:00,1728.8,
1999-03-25 18:00,1728.81,
1999-03-26 18:00,1728.81,
1999-03-27 18:00,1728.83,
1999-03-28 18:00,1728.86,
1999-03-29 18:00,1728.88,
1999-03-30 18:00,1728.88,
1999-03-31 18:00,1728.91,
1999-04-01 18:00,1728.91,
1999-04-02 18:00,1728.91,
1999-04-03 18:00,1728.94,
1999-04-04 18:00,1728.94,
